soc_A1,soc_A2
-0.0045256999999999,0.0259401999999999
-0.0416423999999999,0.2263311999999999
-0.0226623999999999,-0.0157301
-0.0223107999999999,0.0148174999999999
-0.0192256999999999,0.0079763999999999
-0.0352373,0.1419709
-0.0623529999999999,0.1083284999999999
-0.0735819999999999,-0.0341303999999998
-0.0646103,0.0926979999999999
-0.0902141,-0.0427239
-0.0125126,0.0500452
-0.0789623999999999,0.0476518
-0.0537434,0.1105161999999999
-0.0870843,0.0946122
-0.0130917,0.0693093
-0.0005147,0.0090198999999999
-0.0359411,0.1438338
-0.0197153,0.2126784
-0.0232230999999999,0.0758408999999999
0.0188682999999999,0.0046275
-0.0611267999999999,0.1370327
-0.0033064999999999,0.0318848
-0.0433410999999999,0.0309706999999999
-0.0607088,0.1176228999999999
-0.0323493,0.1302121
-0.0071636999999999,0.0003995000000001
-0.0039098999999999,0.0382001
-0.0174288,0.0869359
-0.0556001999999999,0.0773493
-0.0531802999999999,0.1344579
-0.0109831999999999,0.0118434999999998
0.0070918999999999,0.0588164999999998
-0.0677858,0.0548711
-0.0074269999999999,0.0598791999999999
-0.0295556999999999,0.1141786
-0.0369515,0.1537975
-0.0337629,0.1408445
-0.036347,0.0834633
0.0269556,0.0633825000000001
-0.0385019,0.2576586
-0.0910455,0.0524588
-0.0270335999999999,0.0161573000000001
-0.0959069,0.0686700999999999
-0.0361019,0.0275910000000001
0.0043932,0.0297959999999999
0.0372183999999999,0.0426920000000001
-0.0080256,0.0125751999999998
-0.0327581999999999,0.0323176
0.0025214999999999,0.0238555999999998
0.0077047999999999,-0.0025192
-0.0380528,0.2088262
-0.0324767,0.1140816
-0.0923036999999999,0.0378965
-0.0313604,0.0981452999999999
0.0076241,0.0464046999999998
-0.0089532999999999,0.0242278
-0.0273521,0.057636
-0.0138165,0.0317461999999999
-0.0584653,0.0652595999999999
-0.0277371999999999,0.1526798
0.0145697999999999,0.0025421000000001
-0.0497748,0.0641952
-0.03447,0.072119
-0.0249061,0.0427750999999998
0.0198707999999999,0.0535213000000001
-0.0304202,0.0179154999999999
-0.026227,0.0082902999999998
0.0517396,0.0020087999999998
-0.0417931999999999,0.1738174
-0.0352947,0.0036184999999999
-0.0098911,0.067061
-0.0518986,0.0812393999999999
-0.042551,0.1596455999999999
-0.0151866,0.0426881999999999
0.0323225,0.0225375000000001
-0.0161868,0.0491867999999999
-0.0715436999999999,0.0318004
-0.0204886,0.0404473
0.0183039999999999,0.0598102
-0.0688381999999999,0.0685561
-0.0898187999999999,0.1044372
-0.0334284,0.1342596
-0.0766525999999999,0.0477983
-0.0186913,0.0764187999999999
-0.0715194,-0.0334414
-0.0787839,0.0758065
-0.0549441,0.0973239
0.0149895,0.0381268000000001
-0.0223723,0.1260700999999999
-0.0181448999999999,-0.0229983999999998
-0.0273621999999999,0.1332805
-0.0088916,0.0301787
-0.05987,0.1766487
-0.0145572999999999,-0.0124457
-0.0434231,0.0278429
-0.0619868999999999,0.1111982
-0.0131832,-0.0079245000000001
-0.0260893999999999,0.0477008000000001
-0.029433,0.1070358
-0.0716716,0.0868546
0.021143,0.0326976999999999
-0.0365161,0.1202735999999999
-0.0351465,0.1233820000000001
-0.021004,0.0027638999999999
-0.0318114,0.1095309999999999
0.0291225,-0.0134415999999999
-0.0760170999999999,0.0534586
-0.0332156,0.1362529
-0.0901508999999999,0.0527145999999999
-0.0266171,0.0679881
-0.0195807999999999,-0.0101156
0.0097921999999999,0.0473019999999999
-0.0336563999999999,0.1387779999999999
-0.0230571,0.0368245
-0.0351770999999999,0.1087768
-0.0369956,0.0877666999999999
-0.0057069,0.0210036
-0.0214176999999999,0.1885268
-0.030017,0.0953553
-0.0415786,0.0616349999999999
-0.0013651,0.0282957999999999
-0.0791237,0.0853557999999999
-0.0200054,0.0368573
-0.0374127,0.1353223999999999
-0.0095560999999999,0.0597343000000001
-0.0324984999999999,-0.0394483999999999
-0.0308806999999999,0.1351098999999999
-0.0721553999999999,0.1036068
-0.0021976,-0.0035127999999999
-0.0255623,0.1141282999999999
0.0139413999999999,0.0171924000000001
-0.0761710999999999,0.0210057999999999
-0.0615050999999999,0.1063397999999999
-0.0408323999999999,0.0347751
-0.0530778,0.0798427999999999
-0.0325228999999999,0.1363144
-0.0251687,0.1145647
0.0129578999999999,0.0485822
-0.0381947,0.1042714999999999
0.0001433,0.0206688999999999
-0.0330178,0.1434164
-0.0205265,-0.0023819
-0.0025938,0.0290186999999999
0.0336963,0.005025
0.0028304999999999,0.0252101
-0.0793941999999999,0.0894113999999999
-0.0135418,0.0284314999999999
-0.0940921999999999,0.0800169
-0.0399868999999999,0.1772407
-0.0302977,0.1540783999999999
-0.0338542999999999,0.0682871
-0.0360785,0.1170582
-0.0740256,-0.0511481999999999
-0.0874042,0.0825905
0.0343788999999999,0.0153932000000001
-0.0048346,-0.0162063999999999
-0.069342,0.1496720999999999
-0.0367348,0.1439488
