y_socm_A1_par_p_y:z,y_socm_A1_par_p_y:x,y_socm_A1_par_p_z:x,y_socm_A1_par_d_xy:yz,y_socm_A1_par_d_xy:xz,y_socm_A1_par_d_xy:x2-y2,y_socm_A1_par_d_yz:z2-r2,y_socm_A1_par_d_yz:xz,y_socm_A1_par_d_yz:x2-y2,y_socm_A1_par_d_z2-r2:xz,y_socm_A1_par_d_xz:x2-y2,y_socm_A1_perp_p_y:z,y_socm_A1_perp_p_y:x,y_socm_A1_perp_p_z:x,y_socm_A1_perp_d_xy:yz,y_socm_A1_perp_d_xy:xz,y_socm_A1_perp_d_xy:x2-y2,y_socm_A1_perp_d_yz:z2-r2,y_socm_A1_perp_d_yz:xz,y_socm_A1_perp_d_yz:x2-y2,y_socm_A1_perp_d_z2-r2:xz,y_socm_A1_perp_d_xz:x2-y2,y_socm_A2_par_p_y:z,y_socm_A2_par_p_y:x,y_socm_A2_par_p_z:x,y_socm_A2_par_d_xy:yz,y_socm_A2_par_d_xy:xz,y_socm_A2_par_d_xy:x2-y2,y_socm_A2_par_d_yz:z2-r2,y_socm_A2_par_d_yz:xz,y_socm_A2_par_d_yz:x2-y2,y_socm_A2_par_d_z2-r2:xz,y_socm_A2_par_d_xz:x2-y2,y_socm_A2_perp_p_y:z,y_socm_A2_perp_p_y:x,y_socm_A2_perp_p_z:x,y_socm_A2_perp_d_xy:yz,y_socm_A2_perp_d_xy:xz,y_socm_A2_perp_d_xy:x2-y2,y_socm_A2_perp_d_yz:z2-r2,y_socm_A2_perp_d_yz:xz,y_socm_A2_perp_d_yz:x2-y2,y_socm_A2_perp_d_z2-r2:xz,y_socm_A2_perp_d_xz:x2-y2
-0.0015599,-0.0006675,-0.0012448,-0.0016329,-0.0014041,-0.0077752,0.0045933,-0.0069667,-0.0013108,0.0005577,-0.0032138,-0.0016664,-0.0007234,-0.0014462,-0.0007311,-0.001608,-0.0089352,0.0048121,-0.0015027,-0.0013987,-0.0009498,-0.0002187,-0.0064095,-0.0042579,-0.0056447,-0.0574015,-0.0279011,-0.1421284,-0.0997631,-0.0460684,-0.0346678,-0.0907065,-0.0499162,-0.0064423,-0.003831,-0.0062645,-0.0271597,-0.0256419,-0.218868,-0.0959973,-0.0529373,-0.0298845,-0.0931082,-0.0297529
-0.0193852,-0.0097552,-0.0193383,-0.020296,-0.019656,-0.0587828,-0.0522228,-0.0341526,-0.0163088,-0.0512486,-0.0161988,-0.0184461,-0.006948,-0.018502,-0.0127382,-0.0127196,-0.0596023,-0.0525557,-0.0156584,-0.0144867,-0.052244,-0.013963,-0.0077974,-0.006242,-0.0078293,-0.0164576,-0.0178288,-0.1133634,-0.0540472,-0.0381479,-0.0259063,-0.0544731,-0.0269896,-0.0070027,-0.0045921,-0.0069846,-0.0250526,-0.025796,-0.1285638,-0.0647499,-0.0128923,-0.0255734,-0.0649953,-0.0267057
-0.0216108,-0.0136573,-0.0249309,-0.0185996,-0.0215423,-0.0769215,-0.0608364,-0.0112881,-0.0154369,-0.0643042,-0.0177246,-0.0190443,-0.0121374,-0.0237669,-0.0182328,-0.0165024,-0.0787334,-0.0755772,-0.0095242,-0.0090597,-0.0416273,-0.0157756,-0.0056878,-0.0054299,-0.0065506,-0.0275588,-0.0341253,-0.1422604,-0.1328919,-0.0358014,-0.0414935,-0.0693084,-0.0188168,-0.0076376,-0.0062278,-0.0081693,-0.0248703,-0.0353257,-0.1675407,-0.1256674,-0.0433484,-0.0343054,-0.0932028,-0.0288877
-0.0195958,-0.0101876,-0.0188702,-0.0139832,-0.0250758,-0.0653292,-0.0544624,-0.034142,-0.0216932,-0.0490044,-0.0167642,-0.0184791,-0.0081864,-0.0184995,-0.0120081,-0.0140883,-0.0610587,-0.0480336,-0.0205215,-0.0161064,-0.0553909,-0.0131933,-0.0083937,-0.0063065,-0.0078782,-0.0227698,-0.0140869,-0.1238744,-0.0444897,-0.0331113,-0.0261128,-0.0686656,-0.0223186,-0.0072559,-0.0050993,-0.0072164,-0.0210636,-0.0306215,-0.1501889,-0.0626154,-0.0160065,-0.0250897,-0.0727433,-0.027413
-0.0020196,-0.0006142,-0.0023097,0.0002954,-0.0026001,-0.0079048,-0.0036937,-0.0058567,-0.0010081,0.000889,1.08e-05,-0.0021501,-0.0008045,-0.0024446,-0.0002912,-0.0012229,-0.0092799,0.0017314,-0.0032414,-0.001422,0.0018423,-0.000983,-0.005538,-0.0039433,-0.0057688,-0.038577,-0.0399968,-0.1498684,-0.0904661,-0.0450518,-0.0353603,-0.1156949,-0.0312625,-0.0057899,-0.003527,-0.0056524,-0.0375291,-0.026753,-0.2133046,-0.0890043,-0.0497423,-0.0262486,-0.1031325,-0.0354991
-0.0281432,-0.0111085,-0.0286386,-0.0167719,-0.0269535,-0.0694531,-0.0363088,-0.035355,-0.0182801,-0.0498435,-0.0162232,-0.0283279,-0.0108171,-0.0285337,-0.0182489,-0.0219169,-0.0720616,-0.0429083,-0.025196,-0.0183749,-0.0512727,-0.0191638,-0.0061202,-0.0043347,-0.0058817,-0.0322536,-0.0281282,-0.1739511,-0.1005048,-0.0421362,-0.0281494,-0.0876441,-0.0311602,-0.0056954,-0.0036499,-0.0053985,-0.0353891,-0.0272741,-0.2105743,-0.081148,-0.0471299,-0.0213152,-0.0729739,-0.0342259
-0.0014433,-0.0008572,-0.0015562,-0.003084,-0.0012051,-0.0072222,0.0015854,-0.0059361,-0.0003918,-0.0087097,-0.0027868,-0.0014233,-0.0007955,-0.0013472,-0.0006319,-0.0010176,-0.0064391,0.0005656,-0.0020901,-0.0002538,0.0006733,-0.0008768,-0.0074104,-0.0050928,-0.0068538,-0.0107568,-0.0278822,-0.1171092,-0.0832071,-0.032176,-0.0327364,-0.0418265,-0.0271126,-0.007091,-0.004596,-0.0070499,-0.0329596,-0.0313612,-0.1334124,-0.0815073,-0.0180642,-0.0336467,-0.0841576,-0.0302348
-0.0022756,-0.0010237,-0.0021255,-0.001913,-0.0030691,-0.00733,-0.0032148,-0.004466,-0.0005475,-0.0011484,-0.0003812,-0.0028081,-0.0011795,-0.0024055,-0.0002195,-0.0006063,-0.0063562,0.0015847,-0.0075727,-0.0002483,0.0028677,-0.0006936,-0.0070965,-0.0053548,-0.0071964,-0.0280504,-0.0162041,-0.1157837,-0.0666804,-0.0256187,-0.0364627,-0.0715695,-0.0367746,-0.0070369,-0.0064634,-0.0072738,-0.0452441,-0.0398196,-0.1341598,-0.0818517,-0.0299178,-0.0453153,-0.0862785,-0.0397702
-0.0011654,-0.000613,-0.0019188,-0.0026435,-0.0002607,-0.0044843,-0.0066869,0.0001502,0.0001185,-0.0074492,-0.0024905,-0.0011614,-0.0005245,-0.001142,-0.0011175,0.0002839,-0.0044959,-0.0046816,-0.0009771,0.0003945,-0.0023362,-7.42e-05,-0.0060907,-0.0054155,-0.0067865,-0.0125,-0.0241313,-0.1170506,-0.08763,-0.0291938,-0.0313021,-0.0612365,-0.0217766,-0.0059945,-0.0051475,-0.0069533,-0.0302514,-0.028732,-0.1078986,-0.086342,-0.029231,-0.0305001,-0.0887407,-0.021243
-0.0368465,-0.0226588,-0.0371619,-0.0216455,-0.018236,-0.0624826,-0.0553521,-0.0361934,-0.0203575,-0.0383808,-0.0227221,-0.0374997,-0.0229268,-0.0376096,-0.021912,-0.0194839,-0.0611682,-0.0573017,-0.0399117,-0.0212406,-0.0400884,-0.0223288,-0.0074767,-0.0069015,-0.007658,-0.0335305,-0.0304462,-0.1454431,-0.0920028,-0.0454261,-0.03588,-0.0872929,-0.0314608,-0.007647,-0.0075454,-0.0077892,-0.0378535,-0.0347817,-0.1618963,-0.0832403,-0.0488223,-0.0312636,-0.079554,-0.025439
